import time: self [us] | cumulative | imported package
import time:      1016 |       1016 |             matplotlib.container
import time:      1186 |       1186 |             matplotlib.legend_handler
import time:     31296 |      33497 |           matplotlib.legend
import time:       891 |        891 |           matplotlib.mlab
import time:      3762 |       3762 |           matplotlib.quiver
import time:       665 |        665 |           matplotlib.stackplot
import time:       984 |        984 |           matplotlib.streamplot
import time:      2356 |       2356 |             matplotlib.tri._triangulation
import time:     16744 |      16744 |             matplotlib.tri._tricontour
import time:      8781 |       8781 |             matplotlib.tri._trifinder
import time:      2659 |       2659 |               matplotlib.tri._tritools
import time:     28412 |      31070 |             matplotlib.tri._triinterpolate
import time:      2926 |       2926 |             matplotlib.tri._tripcolor
import time:      2244 |       2244 |             matplotlib.tri._triplot
import time:      1406 |       1406 |             matplotlib.tri._trirefine
import time:    106449 |     171974 |           matplotlib.tri
import time:     28507 |      28507 |           matplotlib.axes._secondary_axes
import time:     69685 |     320077 |         matplotlib.axes._axes
import time:     33267 |     439381 |       matplotlib.axes
import time:     10383 |      10383 |       matplotlib.projections.geo
import time:     22348 |      22348 |       matplotlib.projections.polar
import time:       663 |        663 |         mpl_toolkits
import time:      1142 |       1142 |             mpl_toolkits.mplot3d.proj3d
import time:     47200 |      48342 |           mpl_toolkits.mplot3d.art3d
import time:      6844 |       6844 |           mpl_toolkits.mplot3d.axis3d
import time:      9770 |      64956 |         mpl_toolkits.mplot3d.axes3d
import time:     28729 |      94347 |       mpl_toolkits.mplot3d
import time:     28713 |     595169 |     matplotlib.projections
import time:      2781 |       2781 |     matplotlib.colorbar
import time:     11932 |     611284 |   matplotlib.figure
import time:      5458 |       5458 |       _ssl
import time:      5551 |      11008 |     ssl
import time:      2059 |       2059 |         sysconfig
import time:     17815 |      19873 |       zoneinfo._tzpath
import time:     17072 |      17072 |       zoneinfo._common
import time:      2658 |       2658 |       _zoneinfo
import time:     22306 |      61909 |     zoneinfo
import time:     23046 |      23046 |       orjson.orjson
import time:      2483 |      25528 |     orjson
import time:      1042 |       1042 |             email
import time:      1648 |       2689 |           email.errors
import time:      2222 |       2222 |             http
import time:      1346 |       1346 |                     email.quoprimime
import time:       768 |        768 |                     email.base64mime
import time:      1552 |       1552 |                         quopri
import time:      1412 |       2963 |                       email.encoders
import time:      2144 |       5107 |                     email.charset
import time:      1250 |       8470 |                   email.header
import time:      2098 |       2098 |                     email._parseaddr
import time:      5572 |       7670 |                   email.utils
import time:      1978 |      18117 |                 email._policybase
import time:      3011 |      21128 |               email.feedparser
import time:      2313 |      23440 |             email.parser
import time:      1840 |       1840 |               email._encoded_words
import time:      2072 |       2072 |               email.iterators
import time:      4243 |       8155 |             email.message
import time:      3545 |      37360 |           http.client
import time:      3579 |      43627 |         urllib3.exceptions
import time:      2587 |       2587 |                 urllib3.util.timeout
import time:     43876 |      46462 |               urllib3.util.connection
import time:      1190 |       1190 |                 urllib3.util.util
import time:       320 |        320 |                 brotlicffi
import time:       192 |        192 |                 brotli
import time:       168 |        168 |                 backports
import time:     14833 |      16701 |               urllib3.util.request
import time:      1346 |       1346 |               urllib3.util.response
import time:      1782 |       1782 |               urllib3.util.retry
import time:       922 |        922 |                 hmac
import time:      4684 |       4684 |                 urllib3.util.url
import time:      2622 |       2622 |                 urllib3.util.ssltransport
import time:     74335 |      82562 |               urllib3.util.ssl_
import time:      1956 |       1956 |               urllib3.util.wait
import time:     77695 |     228502 |             urllib3.util
import time:        62 |     228563 |           urllib3.util.connection
import time:      4293 |     232856 |         urllib3._base_connection
import time:      2737 |       2737 |         urllib3._collections
import time:      1251 |       1251 |         urllib3._version
import time:      2266 |       2266 |                 mimetypes
import time:      2087 |       4352 |               urllib3.fields
import time:     19164 |      23516 |             urllib3.filepost
import time:       268 |        268 |               brotlicffi
import time:       182 |        182 |               brotli
import time:       733 |        733 |                         importlib.metadata._functools
import time:      1267 |       2000 |                       importlib.metadata._text
import time:      1355 |       3354 |                     importlib.metadata._adapters
import time:      1539 |       1539 |                     importlib.metadata._meta
import time:       756 |        756 |                     importlib.metadata._collections
import time:       548 |        548 |                     importlib.metadata._itertools
import time:      2218 |       2218 |                     importlib.abc
import time:      5748 |      14161 |                   importlib.metadata
import time:       929 |      15090 |                 urllib3.http2
import time:       984 |        984 |                 urllib3.http2.probe
import time:      1881 |       1881 |                 urllib3.util.ssl_match_hostname
import time:     34356 |      52309 |               urllib3.connection
import time:       324 |        324 |               backports
import time:     16833 |      69914 |             urllib3.response
import time:     27644 |     121072 |           urllib3._request_methods
import time:      1384 |       1384 |           urllib3.util.proxy
import time:     28199 |     150654 |         urllib3.connectionpool
import time:      1622 |       1622 |         urllib3.poolmanager
import time:    132652 |     565397 |       urllib3
import time:       883 |        883 |               81d243bd2c585b0f4821__mypyc
import time:      2589 |       2589 |               charset_normalizer.constant
import time:        72 |         72 |                 _multibytecodec
import time:      2531 |       2603 |               charset_normalizer.utils
import time:      1131 |       1131 |               charset_normalizer.models
import time:      1771 |       8975 |             charset_normalizer.cd
import time:       166 |        166 |             _codecs_tw
import time:        83 |         83 |             _codecs_hk
import time:        70 |         70 |             _codecs_jp
import time:        82 |         82 |             _codecs_kr
import time:        48 |         48 |             _codecs_cn
